time,right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.743024,0.67491860334,-0.737554829887,0.111642038974,1.16690407357,-0.128809500664,1.09761861981,-0.0571404448947
0.753005,0.675437381714,-0.737506340979,0.112420136217,1.16733019575,-0.12788593306,1.09774976355,-0.0564878510392
0.762987,0.676053714478,-0.737581929789,0.112993405498,1.1681490288,-0.127026966043,1.09778086555,-0.0557486815642
0.772968,0.676715691492,-0.737397537115,0.113671585327,1.16912406308,-0.126488566665,1.09841235466,-0.0547935574206
0.782949,0.677367932606,-0.737216716665,0.114223060063,1.16996657112,-0.126022041094,1.09859297579,-0.0541541119017
0.792931,0.677995989212,-0.737421029227,0.115012731503,1.170826574,-0.125629023114,1.09806223097,-0.053855694284
0.802912,0.678610490234,-0.737493396683,0.115846233564,1.17173978927,-0.125107072508,1.09821144914,-0.0534967703995
0.812894,0.67930877666,-0.737196509201,0.116344176259,1.17223963108,-0.124544045853,1.0989162994,-0.0530129934025
0.822875,0.68007149374,-0.736949746753,0.116581350289,1.17237914533,-0.124008680977,1.09923221203,-0.0525069998244
0.832856,0.680746661132,-0.737073637396,0.116953823861,1.17297158892,-0.123166850511,1.09943214182,-0.0520171718196
0.842838,0.681317107848,-0.737211617446,0.117676705656,1.17357754585,-0.122585520075,1.09968111184,-0.0516493790509
0.852819,0.68136622245,-0.737068903874,0.118149743662,1.17415463978,-0.122354714631,1.0997703028,-0.0514674255489
0.862800,0.681503143253,-0.736871715518,0.118503840971,1.1748273751,-0.122382878077,1.10008544833,-0.0507808834692
0.872782,0.682077173549,-0.736591964536,0.118908371717,1.17531799571,-0.122101082887,1.10012367225,-0.0502990332982
0.882763,0.682811127639,-0.736114701091,0.119295094508,1.17592191413,-0.121587143691,1.1000989943,-0.0499787485416
0.892745,0.683360230574,-0.735975633076,0.119365720537,1.17647990346,-0.120935790466,1.10028642382,-0.0494890374071
0.902726,0.683720900401,-0.736308431483,0.119240200106,1.1767986629,-0.12016182768,1.10050496342,-0.0489829916087
0.912707,0.684256570347,-0.736310529826,0.119745991448,1.17735819823,-0.119669186087,1.10072473119,-0.0484195166579
0.922689,0.684714347042,-0.736395390866,0.120488921078,1.17747979996,-0.119403402894,1.10059929881,-0.0480386524167
0.932670,0.685062193857,-0.736409393748,0.120876699844,1.17755802424,-0.11947228314,1.10021393525,-0.0479104022213
0.942651,0.685267088191,-0.736193939752,0.12112840681,1.17810925684,-0.119541280453,1.10000923381,-0.0478842200796
0.952633,0.685767291078,-0.735848912786,0.121575255397,1.17870097299,-0.118970845033,1.10004258319,-0.0475900897106
0.962614,0.686247319688,-0.735620212505,0.122018459896,1.1788513556,-0.11849338837,1.10024246419,-0.0471775698963
0.972595,0.686570971746,-0.73564018541,0.122149826726,1.1789255314,-0.118326787623,1.10048860524,-0.0468554090975
0.982577,0.686926326176,-0.735798747777,0.12227811588,1.17923058034,-0.118051964387,1.10061274277,-0.0465870737989
0.992558,0.687071458829,-0.735706527114,0.122988406185,1.17951974337,-0.117936422531,1.10068050406,-0.0464019479747
1.002540,0.687303818906,-0.735313780604,0.123347662432,1.1801464862,-0.117726127813,1.10069080227,-0.0463017152351
1.012521,0.687720121307,-0.735094455735,0.123188394283,1.1807742895,-0.117330637519,1.1005971437,-0.0460042660482
1.022502,0.688091815182,-0.735230417219,0.123526049424,1.18101951077,-0.116963204878,1.10069350758,-0.0456933245284
1.032484,0.688369243944,-0.735648686769,0.12392675712,1.1809990351,-0.116613663728,1.1008635645,-0.0456177614564
1.042465,0.688841293955,-0.735755430959,0.123959169697,1.18115443385,-0.116751609157,1.1009582924,-0.0455751184712
1.052446,0.689297959894,-0.735798665307,0.124032965885,1.1813991577,-0.116913900687,1.10110748468,-0.0453288325143
1.062428,0.689342613213,-0.736253308212,0.124188096502,1.18155109031,-0.116316637539,1.10118852476,-0.0448028772594
1.072409,0.689270351568,-0.736381545711,0.12410394108,1.18181354935,-0.115890831865,1.10084792282,-0.0443667686519
1.082390,0.689337164566,-0.736269386839,0.124332020275,1.18189404073,-0.115927820723,1.10048068301,-0.044477764077
1.092372,0.68945246318,-0.736326824735,0.124749252837,1.18197359779,-0.115779426486,1.10013286228,-0.0443388843476
1.102353,0.689406688773,-0.736416759732,0.125042481584,1.18213070678,-0.115381884278,1.09972083069,-0.044327754968
1.112335,0.689128606147,-0.73627871007,0.125060998108,1.18241789987,-0.115062029892,1.0998847389,-0.0442898125032
1.122316,0.689269305966,-0.735996003475,0.125047692223,1.18247972232,-0.114786614756,1.10021075492,-0.0442049596995
1.132297,0.689722811473,-0.735861038759,0.125315854097,1.18241333446,-0.114786745411,1.10041765397,-0.0441274673476
1.142279,0.689911487141,-0.735908055699,0.125660050944,1.18260753083,-0.115112329091,1.10062977458,-0.0440439131272
1.152260,0.690158650885,-0.735662091802,0.125474622035,1.18266175503,-0.115039923549,1.10048263554,-0.0441997732689
1.162241,0.690342150466,-0.735443102341,0.125271606578,1.18246207202,-0.114934377698,1.10062004574,-0.0440136386742
1.172223,0.690425460425,-0.736019790552,0.125359343913,1.18253416003,-0.114946686686,1.10104922535,-0.0435277848218
1.182204,0.690343317755,-0.736321453598,0.1254361724,1.18287894927,-0.114654728674,1.10121948577,-0.0433639862832
1.192186,0.690260852145,-0.736194618443,0.125832486793,1.18312336454,-0.11418782971,1.10128953673,-0.0438072903289
1.202167,0.69016741621,-0.736134134296,0.126122158083,1.18301260984,-0.11411939947,1.10120012399,-0.0440193129697
